Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10
Festival,Poisson,72,Total,50,50,148.16,115.0,355.0999999999998,0.382597192224622,10,10,0,1
Festival,Poisson,73,Target,10,10,86.4,72.5,184.84999999999985,0.2960648148148148,10,10,0,1
Festival,Poisson,73,Background,41,39,161.35897435897436,125.0,366.5000000000003,0.37304779017793477,10,10,0,1
Festival,Poisson,73,Total,51,49,146.0612244897959,105.0,336.9999999999999,0.3848893476630557,10,10,0,1
Festival,Poisson,74,Target,10,10,184.3,179.5,280.84999999999985,0.16001085187194788,10,10,0,1
Festival,Poisson,74,Background,46,45,183.84444444444443,135.0,552.7999999999998,0.43617121291483674,10,10,0,1
Festival,Poisson,74,Total,56,55,183.92727272727274,145.0,532.2999999999998,0.39934217621050355,10,10,0,1
Festival,Poisson,75,Target,10,10,125.6,112.5,244.64999999999998,0.33598726114649685,10,10,0,1
Festival,Poisson,75,Background,28,25,134.16,110.0,342.3999999999995,0.320190816935003,10,10,0,1
Festival,Poisson,75,Total,38,35,131.71428571428572,110.0,290.99999999999966,0.3286024171056709,10,10,0,1
Festival,Poisson,76,Target,10,10,60.9,60.0,92.14999999999999,0.18341543513957306,10,10,0,1
Festival,Poisson,76,Background,30,29,104.82758620689656,95.0,200.99999999999997,0.2977540834845735,10,10,0,1
Festival,Poisson,76,Total,40,39,93.56410256410257,85.0,196.0,0.3060901827687248,10,10,0,1
Festival,Poisson,77,Target,10,10,76.8,76.0,122.75,0.228125,10,10,0,1
Festival,Poisson,77,Background,42,40,151.125,150.0,257.2499999999999,0.2975806451612903,10,10,0,1
Festival,Poisson,77,Total,52,50,136.26,125.0,245.99999999999994,0.3198326728313518,10,10,0,1
Festival,Poisson,78,Target,10,10,123.7,86.5,310.4,0.44842360549717053,10,10,0,1
Festival,Poisson,78,Background,37,35,144.94285714285715,125.0,301.9999999999998,0.3170961110641773,10,10,0,1
Festival,Poisson,78,Total,47,45,140.22222222222223,125.0,322.39999999999986,0.35189293889769324,10,10,0,1
Festival,Poisson,79,Target,10,10,198.4,198.5,289.79999999999995,0.1910282258064516,10,10,0,1
Festival,Poisson,79,Background,43,41,130.6341463414634,128.0,245.0,0.2883294777682654,10,10,0,1
Festival,Poisson,79,Total,53,51,143.92156862745097,135.0,262.0,0.28390233477587223,10,10,0,1
Festival,Poisson,80,Target,10,10,137.0,97.5,282.04999999999995,0.345985401459854,10,10,0,1
Festival,Poisson,80,Background,33,31,135.90322580645162,115.0,290.0,0.3284304342166719,10,10,0,1
Festival,Poisson,80,Total,43,41,136.17073170731706,115.0,305.0,0.3386587331751878,10,10,0,1
Festival,Poisson,81,Target,10,10,87.0,65.0,238.14999999999978,0.4560919540229885,10,10,0,1
Festival,Poisson,81,Background,48,40,163.925,120.0,407.6999999999995,0.3722243403995729,10,10,0,1
Festival,Poisson,81,Total,58,50,148.54,112.5,390.9,0.404822943314932,10,10,0,1
Festival,Poisson,82,Target,10,10,188.7,147.0,395.84999999999997,0.3280869104398516,10,10,0,1
Festival,Poisson,82,Background,42,38,116.10526315789474,95.0,261.6,0.3279930333540106,10,10,0,1
