Scenario,Condition,Seed,TotalSuccessN,TargetSuccessN,TotalWaitSum,TargetWaitSum,TargetWaitBurdenShare,TargetSuccessShare,ExcessBurden
Festival,Synchronized,41,53,10,8228.0,1826.0,0.22192513368983957,0.18867924528301888,0.03324588840682069
Festival,Synchronized,42,67,10,11420.0,2820.0,0.2469352014010508,0.14925373134328357,0.09768147005776723
Festival,Synchronized,43,47,10,9791.0,4130.0,0.42181595342661626,0.2127659574468085,0.20904999597980775
Festival,Synchronized,44,49,10,9344.0,3810.0,0.4077482876712329,0.20408163265306123,0.20366665501817166
Festival,Synchronized,45,46,10,6955.0,1120.0,0.16103522645578722,0.21739130434782608,-0.056356077892038864
Festival,Synchronized,46,36,10,6310.0,2829.0,0.4483359746434231,0.2777777777777778,0.17055819686564533
Festival,Synchronized,47,46,10,6550.0,1717.0,0.26213740458015267,0.21739130434782608,0.044746100232326586
Festival,Synchronized,48,61,10,10077.0,1434.0,0.14230425721941053,0.16393442622950818,-0.02163016901009765
Festival,Synchronized,49,47,10,7845.0,2622.0,0.33422562141491396,0.2127659574468085,0.12145966396810545
Festival,Synchronized,50,45,10,6327.0,2827.0,0.4468152362889205,0.2222222222222222,0.2245930140666983
Festival,Synchronized,51,39,10,8092.0,4370.0,0.5400395452298566,0.2564102564102564,0.28362928881960026
Festival,Synchronized,52,43,10,6087.0,1777.0,0.2919336290455068,0.23255813953488372,0.059375489510623075
Festival,Synchronized,53,41,10,5830.0,1799.0,0.30857632933104634,0.24390243902439024,0.0646738903066561
Festival,Synchronized,54,40,10,5017.0,1210.0,0.24117998804066176,0.25,-0.008820011959338236
Festival,Synchronized,55,49,10,7981.0,1821.0,0.2281668963788999,0.20408163265306123,0.024085263725838663
Festival,Synchronized,56,40,10,7250.0,4030.0,0.5558620689655173,0.25,0.30586206896551726
Festival,Synchronized,57,51,10,6728.0,1465.0,0.21774673008323425,0.19607843137254902,0.021668298710685235
Festival,Synchronized,58,54,10,7330.0,1971.0,0.26889495225102317,0.18518518518518517,0.08370976706583799
Festival,Synchronized,59,39,10,6561.0,2260.0,0.34445968602347204,0.2564102564102564,0.08804942961321566
Festival,Synchronized,60,54,10,8649.0,1557.0,0.18002081165452655,0.18518518518518517,-0.005164373530658628
Festival,Synchronized,61,50,10,7149.0,1195.0,0.16715624562875928,0.2,-0.032843754371240735
Festival,Synchronized,62,47,10,8616.0,4030.0,0.4677344475394615,0.2127659574468085,0.254968490092653
Festival,Synchronized,63,51,10,7728.0,2540.0,0.32867494824016563,0.19607843137254902,0.13259651686761662
Festival,Synchronized,64,42,10,6892.0,2892.0,0.4196169471851422,0.23809523809523808,0.18152170908990412
Festival,Synchronized,65,53,10,7650.0,2505.0,0.32745098039215687,0.18867924528301888,0.13877173510913798
Festival,Synchronized,66,49,10,9245.0,3046.0,0.3294753921038399,0.20408163265306123,0.12539375945077869
Festival,Synchronized,67,47,10,5543.0,1200.0,0.2164892657405737,0.2127659574468085,0.0037233082937651873
Festival,Synchronized,68,51,10,9002.0,1939.0,0.21539657853810265,0.19607843137254902,0.019318147165553634
Festival,Synchronized,69,47,10,7858.0,1518.0,0.19317892593535252,0.2127659574468085,-0.019587031511455993
Festival,Synchronized,70,49,10,9183.0,2362.0,0.2572144179462049,0.20408163265306123,0.05313278529314369
Festival,Synchronized,71,48,10,6644.0,2165.0,0.3258579169175196,0.20833333333333334,0.11752458358418624
Festival,Synchronized,72,50,10,7756.0,1791.0,0.23091799896854048,0.2,0.030917998968540472
Festival,Synchronized,73,50,10,7147.0,1815.0,0.2539527074296908,0.2,0.05395270742969077
Festival,Synchronized,74,56,10,11349.0,3925.0,0.34584544893823244,0.17857142857142858,0.16727402036680386
Festival,Synchronized,75,34,10,5269.0,1964.0,0.37274625166065667,0.29411764705882354,0.07862860460183313
Festival,Synchronized,76,39,10,4145.0,1020.0,0.24607961399276237,0.2564102564102564,-0.010330642417494013
Festival,Synchronized,77,49,10,7389.0,1545.0,0.2090946000812018,0.20408163265306123,0.005012967428140558
Festival,Synchronized,78,46,10,8119.0,4030.0,0.49636654760438476,0.21739130434782608,0.27897524325655865
Festival,Synchronized,79,51,10,7332.0,1755.0,0.2393617021276596,0.19607843137254902,0.04328327075511057
Festival,Synchronized,80,41,10,5654.0,1780.0,0.314821365405023,0.24390243902439024,0.07091892638063274
Festival,Synchronized,81,53,10,10554.0,4030.0,0.38184574568883833,0.18867924528301888,0.19316650040581945
Festival,Synchronized,82,52,10,8347.0,2712.0,0.3249071522702767,0.19230769230769232,0.1325994599625844
Festival,Synchronized,83,59,10,8654.0,2480.0,0.2865726831522995,0.1694915254237288,0.1170811577285707
Festival,Synchronized,84,57,10,10708.0,2837.0,0.26494209936496077,0.17543859649122806,0.08950350287373271
Festival,Synchronized,85,44,3,7287.0,532.0,0.07300672430355427,0.06818181818181818,0.004824906121736097
Festival,Synchronized,86,51,10,6798.0,1978.0,0.29096793174463076,0.19607843137254902,0.09488950037208174
Festival,Synchronized,87,48,10,7264.0,1740.0,0.2395374449339207,0.20833333333333334,0.031204111600587364
Festival,Synchronized,88,48,10,5904.0,1294.0,0.21917344173441736,0.20833333333333334,0.010840108401084014
Festival,Synchronized,89,52,10,8521.0,1280.0,0.150217110667762,0.19230769230769232,-0.04209058163993032
