Scenario,Condition,Seed,PassengerID,CallTime,WaitTime,ExpectedWaitTime,IncreasedTime,Success,PassengerGroup
Festival,Poisson,9,32,2102,244.0,283.15123962323406,-30.151239623234066,True,Background
Festival,Poisson,9,33,2137,85.0,36.191007752865154,421.8089922471348,True,Background
Festival,Poisson,9,34,2162,250.0,263.2215613827456,-15.221561382745591,True,Background
Festival,Poisson,9,35,2291,185.0,208.2303034284837,-44.23030342848375,True,Background
Festival,Poisson,9,36,2301,90.0,43.3817958224853,-115.07931657601716,True,Background
Festival,Poisson,9,37,2424,210.0,238.2475946288945,-64.24759462889455,True,Background
Festival,Poisson,9,38,2488,55.0,78.32248760986198,276.677512390138,True,Background
Festival,Poisson,9,39,2579,165.0,234.25153313050004,-69.25153313050004,True,Background
Festival,Poisson,9,40,2627,115.0,111.15387537682884,-34.153875376828864,True,Background
Festival,Poisson,9,41,2670,400.0,451.084786059358,-65.08478605935798,True,Background
Festival,Poisson,9,42,2880,239.0,283.3505829642535,-70.35058296425348,True,Background
Festival,Poisson,9,43,2970,75.0,145.12144449004657,-70.12144449004657,True,Background
Festival,Poisson,9,44,2997,429.0,18.148236524832285,,True,Background
Festival,Poisson,9,45,3011,95.0,66.1421348058133,-1.1421348058132992,True,Background
Festival,Poisson,9,46,3014,180.0,199.92071686894167,-194.2195509404346,True,Background
Festival,Poisson,9,47,3099,145.0,138.051484700813,,True,Background
Festival,Poisson,9,48,3143,135.0,206.2066552816441,-43.20665528164409,True,Background
Festival,Poisson,9,49,3248,75.0,143.1241505146712,-3.1241505146712143,True,Background
Festival,Poisson,9,50,3276,135.0,154.19410635157502,-16.194106351575044,True,Background
Festival,Poisson,9,51,3416,,,,False,Background
Festival,Poisson,10,1,184,135.0,95.14736808242102,-89.14736808242105,True,Background
Festival,Poisson,10,2,457,75.0,119.30878229472938,4.691217705270617,True,Background
Festival,Poisson,10,3,479,135.0,153.27863370584907,-40.278633705849074,True,Background
Festival,Poisson,10,4,493,255.0,322.2470535137742,309.7529464862258,True,Background
