Scenario,Condition,Seed,Group,N_rows,N_success,MeanWait,MedianWait,P95Wait,Gini,TargetRequestedN,TargetSuccessN,TargetFailedN,TargetComplete10,SuccessRate
Holiday,Uniform,52,Background,39,32,120.875,110.0,223.6,0.2789878490175801,10,10,0,1,0.8205128205128205
Holiday,Uniform,53,Background,36,34,138.0,122.5,330.24999999999994,0.3454942079133443,10,9,1,1,0.9444444444444444
Holiday,Uniform,54,Background,31,27,163.88888888888889,135.0,417.0,0.3518895166352794,10,10,0,1,0.8709677419354839
Holiday,Uniform,55,Background,40,37,126.54054054054056,115.0,232.9999999999996,0.2753501044829536,10,10,0,1,0.925
Holiday,Uniform,56,Background,33,29,147.0344827586207,105.0,357.99999999999994,0.3747169567186388,10,10,0,1,0.8787878787878788
Holiday,Uniform,57,Background,42,42,146.45238095238096,125.0,354.84999999999974,0.3657670839429903,10,10,0,1,1.0
Holiday,Uniform,58,Background,50,45,147.0222222222222,125.0,368.9999999999999,0.3732097272605132,10,10,0,1,0.9
Holiday,Uniform,59,Background,30,30,108.23333333333332,90.0,240.74999999999983,0.3402217431475207,10,10,0,1,1.0
Holiday,Uniform,60,Background,46,43,142.53488372093022,145.0,245.0,0.2666089919445109,10,10,0,1,0.9347826086956522
Holiday,Uniform,61,Background,41,37,155.40540540540542,155.0,264.19999999999993,0.2609823736780258,10,10,0,1,0.9024390243902439
Holiday,Uniform,62,Background,43,34,127.91176470588236,107.5,284.8999999999997,0.3217440114698443,10,10,0,1,0.7906976744186046
Holiday,Uniform,63,Background,43,39,154.76923076923077,155.0,290.5,0.3026796486041018,10,10,0,1,0.9069767441860465
Holiday,Uniform,64,Background,32,32,127.96875,122.5,231.25,0.2676663614163614,10,10,0,1,1.0
Holiday,Uniform,65,Background,50,41,132.390243902439,125.0,240.0,0.3074213203443752,10,10,0,1,0.82
Holiday,Uniform,66,Background,41,40,160.925,120.0,526.9499999999998,0.3880340220599658,10,10,0,1,0.975609756097561
Holiday,Uniform,67,Background,39,37,120.64864864864865,115.0,217.9999999999997,0.3412283250992928,10,10,0,1,0.9487179487179487
Holiday,Uniform,68,Background,42,41,141.09756097560975,120.0,275.0,0.3637582477812678,10,10,0,1,0.9761904761904762
Holiday,Uniform,69,Background,44,37,209.67567567567568,175.0,546.7999999999995,0.3576221232833761,10,10,0,1,0.8409090909090909
Holiday,Uniform,70,Background,42,38,149.23684210526315,105.0,394.6499999999998,0.405966644702039,10,7,3,1,0.9047619047619048
Holiday,Uniform,71,Background,39,38,136.02631578947367,132.5,228.0,0.3236042805795685,10,10,0,1,0.9743589743589743
Holiday,Uniform,72,Background,40,38,170.5,135.0,333.0499999999999,0.344119869050617,10,10,0,1,0.95
Holiday,Uniform,73,Background,41,38,161.39473684210526,125.0,467.25,0.3910810370128811,10,10,0,1,0.926829268292683
Holiday,Uniform,74,Background,46,44,170.29545454545453,140.0,414.6000000000001,0.3988783470633197,10,6,4,1,0.9565217391304348
Holiday,Uniform,75,Background,28,25,151.72,145.0,274.99999999999994,0.3197679936725547,10,10,0,1,0.8928571428571429
Holiday,Uniform,76,Background,30,29,131.3448275862069,115.0,276.79999999999984,0.2992187287821041,10,10,0,1,0.9666666666666667
Holiday,Uniform,77,Background,42,37,143.83783783783784,135.0,358.59999999999974,0.3322262510537595,10,10,0,1,0.8809523809523809
Holiday,Uniform,78,Background,37,36,144.44444444444446,120.0,320.0,0.3140491452991452,10,10,0,1,0.972972972972973
Holiday,Uniform,79,Background,43,39,136.28205128205127,145.0,245.5,0.2642159345828208,10,10,0,1,0.9069767441860465
Holiday,Uniform,80,Background,33,32,154.09375,140.0,285.75,0.3065237781383086,10,10,0,1,0.9696969696969697
Holiday,Uniform,81,Background,48,44,168.70454545454547,130.5,392.65,0.333781367494152,10,10,0,1,0.9166666666666666
Holiday,Uniform,82,Background,42,40,159.7,107.5,378.8499999999997,0.3782561051972448,10,9,1,1,0.9523809523809523
Holiday,Uniform,83,Background,50,49,146.85714285714286,130.0,314.19999999999993,0.3587140247983573,10,10,0,1,0.98
Holiday,Uniform,84,Background,47,47,184.04255319148936,154.0,465.8999999999997,0.35498708645923,10,10,0,1,1.0
Holiday,Uniform,85,Background,45,35,173.17142857142858,115.0,512.9999999999998,0.3605439932118697,10,10,0,1,0.7777777777777778
Holiday,Uniform,86,Background,42,41,139.0731707317073,105.0,375.0,0.3859578581755653,10,10,0,1,0.9761904761904762
Holiday,Uniform,87,Background,39,39,122.3076923076923,105.0,233.9000000000001,0.3125409880126861,10,10,0,1,1.0
Holiday,Uniform,88,Background,41,40,97.95,85.0,189.49999999999972,0.3554874936191934,10,10,0,1,0.975609756097561
Holiday,Uniform,89,Background,45,39,153.25641025641025,145.0,297.1,0.3035567967808222,10,10,0,1,0.8666666666666667
Holiday,Uniform,90,Background,47,44,147.47727272727272,125.0,277.75,0.3433327729444234,10,10,0,1,0.9361702127659575
Holiday,Uniform,91,Background,46,42,163.76190476190476,147.5,269.75,0.2793516941525084,10,10,0,1,0.9130434782608695
Holiday,Uniform,92,Background,45,42,158.0,145.0,273.9999999999999,0.2832386119004564,10,10,0,1,0.9333333333333333
Holiday,Uniform,93,Background,48,41,186.0487804878049,165.0,560.0,0.3746274956194763,10,10,0,1,0.8541666666666666
Holiday,Uniform,94,Background,39,36,126.13888888888889,120.0,230.0,0.2870451931782035,10,10,0,1,0.9230769230769231
Holiday,Uniform,95,Background,38,35,112.57142857142856,120.0,208.0,0.3054387237128353,10,10,0,1,0.9210526315789473
Holiday,Uniform,96,Background,39,39,120.02564102564102,100.0,256.20000000000016,0.3112089790150034,10,10,0,1,1.0
Holiday,Uniform,97,Background,43,40,173.85,145.0,414.24999999999983,0.3280773655450101,10,10,0,1,0.9302325581395349
Holiday,Uniform,98,Background,38,32,125.59375,105.0,292.2,0.3417128016919631,10,10,0,1,0.8421052631578947
Holiday,Uniform,99,Background,39,38,143.89473684210526,135.0,242.45,0.2994455781003349,10,10,0,1,0.9743589743589743
Holiday,Uniform,100,Background,55,50,146.12,122.5,344.1,0.4175691212701888,10,10,0,1,0.9090909090909091
Lunch,Poisson,1,Background,42,40,169.8,137.5,418.1499999999999,0.3612338044758539,10,10,0,1,0.9523809523809523
Lunch,Poisson,2,Background,39,33,152.6060606060606,135.0,355.99999999999994,0.3654295135629528,10,10,0,1,0.8461538461538461
Lunch,Poisson,3,Background,23,23,101.65217391304348,105.0,185.0,0.2902146018521962,10,10,0,1,1.0
Lunch,Poisson,4,Background,33,31,165.03225806451613,125.0,446.0,0.3894297460213372,10,10,0,1,0.9393939393939394
Lunch,Poisson,5,Background,38,37,158.51351351351352,115.0,373.7999999999996,0.3642957535540655,10,10,0,1,0.9736842105263158
Lunch,Poisson,6,Background,45,42,142.66666666666666,120.0,256.4,0.3863246233072668,10,10,0,1,0.9333333333333333
Lunch,Poisson,7,Background,44,38,177.1315789473684,120.0,480.65,0.3905769847289446,10,10,0,1,0.8636363636363636
Lunch,Poisson,8,Background,30,28,102.14285714285714,105.0,186.25,0.2642357642357642,10,10,0,1,0.9333333333333333
Lunch,Poisson,9,Background,41,40,151.625,140.0,295.94999999999965,0.3563437757625721,10,10,0,1,0.975609756097561
Lunch,Poisson,10,Background,35,33,143.0,115.0,485.6,0.3943311050749067,10,10,0,1,0.9428571428571428
Lunch,Poisson,11,Background,36,33,161.8181818181818,125.0,427.7999999999999,0.3696288729996595,10,10,0,1,0.9166666666666666
Lunch,Poisson,12,Background,37,34,158.26470588235293,151.0,314.5999999999999,0.301819036479115,10,10,0,1,0.918918918918919
Lunch,Poisson,13,Background,37,37,181.32432432432432,175.0,404.5999999999995,0.3428150165368827,10,10,0,1,1.0
Lunch,Poisson,14,Background,36,35,95.28571428571428,95.0,201.49999999999983,0.32023988005997,10,10,0,1,0.9722222222222222
Lunch,Poisson,15,Background,44,42,165.16666666666666,150.0,404.0499999999996,0.324920886619027,10,10,0,1,0.9545454545454546
Lunch,Poisson,16,Background,43,37,144.94594594594594,135.0,273.3999999999993,0.2750074333143511,10,10,0,1,0.8604651162790697
Lunch,Poisson,17,Background,40,38,125.02631578947368,95.0,343.24999999999994,0.4033001362594025,10,10,0,1,0.95
Lunch,Poisson,18,Background,46,42,162.0952380952381,127.5,458.9499999999998,0.373258351519221,10,9,1,1,0.9130434782608695
Lunch,Poisson,19,Background,44,41,125.92682926829268,115.0,265.0,0.2878832971943897,10,10,0,1,0.9318181818181818
Lunch,Poisson,20,Background,44,41,118.6829268292683,115.0,205.0,0.260122502581376,10,9,1,1,0.9318181818181818
Lunch,Poisson,21,Background,43,41,152.5121951219512,125.0,285.0,0.298533776957792,10,10,0,1,0.9534883720930233
Lunch,Poisson,22,Background,53,50,174.2,141.5,338.69999999999993,0.3553754305396097,10,8,2,1,0.9433962264150944
Lunch,Poisson,23,Background,40,37,138.7027027027027,115.0,285.5999999999996,0.3500347580628173,10,10,0,1,0.925
Lunch,Poisson,24,Background,37,35,138.25714285714287,105.0,320.4999999999999,0.3425737312904083,10,10,0,1,0.9459459459459459
Lunch,Poisson,25,Background,42,41,139.8780487804878,100.0,415.0,0.3848597614136559,10,10,0,1,0.9761904761904762
Lunch,Poisson,26,Background,43,33,166.3030303030303,135.0,446.3999999999998,0.3625541125541125,10,10,0,1,0.7674418604651163
Lunch,Poisson,27,Background,38,36,179.69444444444446,145.0,514.5,0.3933932773397914,10,10,0,1,0.9473684210526315
Lunch,Poisson,28,Background,39,37,131.45945945945945,95.0,337.1999999999992,0.3950146692745377,10,10,0,1,0.9487179487179487
Lunch,Poisson,29,Background,35,29,191.0,157.0,453.4,0.3691068349197851,10,10,0,1,0.8285714285714286
Lunch,Poisson,30,Background,38,36,130.66666666666666,117.5,260.0,0.3098308767951625,10,10,0,1,0.9473684210526315
Lunch,Poisson,31,Background,46,43,155.46511627906978,125.0,409.8999999999999,0.3335339444434781,10,10,0,1,0.9347826086956522
Lunch,Poisson,32,Background,44,44,201.5909090909091,161.5,448.6,0.3475299784769909,10,10,0,1,1.0
Lunch,Poisson,33,Background,44,39,150.71794871794873,129.0,313.7000000000001,0.3498573559818881,10,10,0,1,0.8863636363636364
Lunch,Poisson,34,Background,47,42,141.21428571428572,135.0,239.49999999999997,0.2568706794806946,10,10,0,1,0.8936170212765957
Lunch,Poisson,35,Background,34,33,111.36363636363636,115.0,196.99999999999997,0.2598227169655741,10,10,0,1,0.9705882352941176
Lunch,Poisson,36,Background,48,46,139.8695652173913,130.0,261.25,0.321214742333527,10,10,0,1,0.9583333333333334
Lunch,Poisson,37,Background,48,41,154.5121951219512,135.0,374.0,0.3829826553987718,10,10,0,1,0.8541666666666666
Lunch,Poisson,38,Background,45,37,131.97297297297297,115.0,279.99999999999966,0.403274460206674,10,10,0,1,0.8222222222222222
Lunch,Poisson,39,Background,56,52,194.21153846153845,163.5,462.3,0.3475344093474601,10,10,0,1,0.9285714285714286
Lunch,Poisson,40,Background,34,31,145.09677419354838,135.0,250.0,0.1890732798806638,10,10,0,1,0.9117647058823529
Lunch,Poisson,41,Background,46,41,155.9512195121951,135.0,396.0,0.325083729410957,10,10,0,1,0.8913043478260869
Lunch,Poisson,42,Background,59,58,140.58620689655172,125.0,306.59999999999985,0.3655493813064034,10,10,0,1,0.9830508474576272
Lunch,Poisson,43,Background,40,37,201.97297297297297,145.0,501.5999999999999,0.4016477336429163,10,10,0,1,0.925
Lunch,Poisson,44,Background,45,42,136.97619047619048,115.0,304.49999999999994,0.3511418473177555,10,10,0,1,0.9333333333333333
